category,source,metric,class,distance_threshold_m,value,unit
class_tp_error,this_checkpoint,mATE,bicycle,,0.1485292080751805,m
class_tp_error,this_checkpoint,mASE,bicycle,,0.25893631963377384,1 - IoU
class_tp_error,this_checkpoint,mAOE,bicycle,,0.24043062880900565,rad
class_tp_error,this_checkpoint,mAVE,bicycle,,0.18311026783546042,m/s
class_tp_error,this_checkpoint,mAAE,bicycle,,0.015465238295368805,1 - accuracy
class_ap,this_checkpoint,mean_AP,traffic_cone,,0.7821045271328024,ratio
class_ap,this_checkpoint,AP,traffic_cone,0.5,0.7600810195621792,ratio
class_ap,this_checkpoint,AP,traffic_cone,1.0,0.7692867337216456,ratio
class_ap,this_checkpoint,AP,traffic_cone,2.0,0.7870717303732871,ratio
class_ap,this_checkpoint,AP,traffic_cone,4.0,0.8119786248740978,ratio
class_tp_error,this_checkpoint,mATE,traffic_cone,,0.12642512168870557,m
class_tp_error,this_checkpoint,mASE,traffic_cone,,0.33270644290481377,1 - IoU
class_tp_error,this_checkpoint,mAOE,traffic_cone,,,rad
class_tp_error,this_checkpoint,mAVE,traffic_cone,,,m/s
class_tp_error,this_checkpoint,mAAE,traffic_cone,,,1 - accuracy
class_ap,this_checkpoint,mean_AP,barrier,,0.6797407203660776,ratio
class_ap,this_checkpoint,AP,barrier,0.5,0.5685157954244888,ratio
class_ap,this_checkpoint,AP,barrier,1.0,0.6819899660550837,ratio
class_ap,this_checkpoint,AP,barrier,2.0,0.7237251428626361,ratio
class_ap,this_checkpoint,AP,barrier,4.0,0.7447319771221016,ratio
class_tp_error,this_checkpoint,mATE,barrier,,0.21892976041360465,m
class_tp_error,this_checkpoint,mASE,barrier,,0.27519955263660295,1 - IoU
class_tp_error,this_checkpoint,mAOE,barrier,,0.08732056004386742,rad
class_tp_error,this_checkpoint,mAVE,barrier,,,m/s
class_tp_error,this_checkpoint,mAAE,barrier,,,1 - accuracy
runtime,this_checkpoint,latency,,,131.55993238384846,ms/frame/GPU
runtime,this_checkpoint,throughput,,,7.601098464252247,frames/s/GPU
runtime,this_checkpoint,full_loop_throughput,,,7.877902910153479,frames/s
runtime,this_checkpoint,peak_vram_allocated,,,353.76025390625,MiB/GPU
